EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -4    -3    2     20    7     -1    -3    -3   0.235 -0.226 4.358 -0.760 -0.112 0.578 0
 -4    -3    2     20    7     -1    -3    -3   0.138 -0.308 4.085 -0.746 -0.112 0.584 0
 -4    -3    2     20    7     -1    -3    -3   0.045 -0.362 3.807 -0.731 -0.111 0.590 0
 -4    -3    2     20    7     -1    -3    -3   -0.038 -0.376 3.536 -0.715 -0.112 0.595 0
 0     -1    -4    -4    -6    -6    -4    -2   -0.102 -0.358 3.249 -0.700 -0.112 0.598 0
 0     -1    -4    -4    -6    -6    -4    -2   -0.124 -0.333 2.873 -0.684 -0.109 0.592 0
 0     -1    -4    -4    -6    -6    -4    -2   -0.096 -0.356 2.531 -0.678 -0.106 0.581 0
 0     -1    -4    -4    -6    -6    -4    -2   -0.068 -0.404 2.173 -0.677 -0.106 0.571 0
 0     -1    -4    -4    -6    -6    -4    -2   -0.024 -0.460 1.823 -0.676 -0.106 0.561 0
 1     1     3     -2    1     0     -1    -1   0.018 -0.508 1.504 -0.672 -0.107 0.554 0
 1     1     3     -2    1     0     -1    -1   0.032 -0.561 1.144 -0.664 -0.111 0.550 0
 1     1     3     -2    1     0     -1    -1   0.037 -0.608 0.877 -0.653 -0.111 0.546 0
 1     1     3     -2    1     0     -1    -1   0.030 -0.659 0.646 -0.638 -0.107 0.541 0
 0     0     0     -7    1     2     0     0    0.011 -0.707 0.413 -0.623 -0.102 0.536 0
 0     0     0     -7    1     2     0     0    -0.002 -0.751 0.178 -0.610 -0.097 0.530 0
 0     0     0     -7    1     2     0     0    -0.026 -0.778 -0.056 -0.599 -0.096 0.527 0
 0     0     0     -7    1     2     0     0    -0.045 -0.793 -0.290 -0.590 -0.097 0.525 0
 0     0     0     -7    1     2     0     0    -0.066 -0.813 -0.529 -0.581 -0.101 0.526 0
 -1    0     -5    -6    -2    1     1     -1   -0.091 -0.844 -0.772 -0.571 -0.104 0.527 0
 1     -1    -2    0     2     3     3     1    -0.123 -0.877 -1.015 -0.559 -0.105 0.528 0
 1     -1    -2    0     2     3     3     1    -0.168 -0.897 -1.259 -0.546 -0.105 0.529 0
 1     -1    -2    0     2     3     3     1    -0.245 -0.905 -1.572 -0.532 -0.104 0.533 0
 -2    -5    -10   -4    1     -9    -2    -1   -0.316 -0.907 -1.832 -0.523 -0.105 0.536 0
 -2    -5    -10   -4    1     -9    -2    -1   -0.379 -0.912 -2.035 -0.519 -0.107 0.541 0
 1     1     16    29    12    2     0     0    -0.458 -0.930 -2.300 -0.516 -0.110 0.547 0
 1     1     16    29    12    2     0     0    -0.535 -0.964 -2.566 -0.516 -0.114 0.553 0
 1     1     16    29    12    2     0     0    -0.597 -1.016 -2.820 -0.516 -0.117 0.556 0
 1     1     16    29    12    2     0     0    -0.636 -1.068 -3.048 -0.514 -0.118 0.556 0
 -1    -1    -13   -30   -9    2     1     -3   -0.670 -1.105 -3.247 -0.509 -0.118 0.554 0
 -1    -1    -13   -30   -9    2     1     -3   -0.684 -1.124 -3.408 -0.498 -0.117 0.550 0
 -1    -1    -13   -30   -9    2     1     -3   -0.686 -1.134 -3.572 -0.481 -0.114 0.543 0
 -1    -1    -13   -30   -9    2     1     -3   -0.680 -1.146 -3.702 -0.470 -0.114 0.537 0
 -1    -1    -13   -30   -9    2     1     -3   -0.669 -1.163 -3.816 -0.458 -0.113 0.531 0
 -2    -1    -1    0     -2    -3    -1    -2   -0.672 -1.182 -3.932 -0.449 -0.115 0.528 0
 -2    -1    -1    0     -2    -3    -1    -2   -0.673 -1.202 -4.051 -0.440 -0.117 0.525 0
 -2    -1    -1    0     -2    -3    -1    -2   -0.682 -1.225 -4.178 -0.432 -0.118 0.522 0
 -2    -1    -1    0     -2    -3    -1    -2   -0.695 -1.249 -4.310 -0.423 -0.116 0.518 0
 -2    -1    -1    0     -2    -3    -1    -2   -0.708 -1.280 -4.462 -0.416 -0.113 0.513 0
 -2    -1    -1    0     -2    -3    -1    -2   -0.724 -1.316 -4.623 -0.410 -0.110 0.509 0
